post_title,meta:product_tabs_tab_considerations,meta:product_tabs_tab_features,meta:product_tabs_tab_manuals,meta:product_tabs_tab_product_details,meta:product_tabs_tab_specifications,meta:product_tabs_tab_upgrade,meta:product_tabs_tab_video,sku
Roller Tube with 4 Slots-Patio Awning,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree 1997 or newer Fiesta (up to 21'), Eclipse, Travel'R, One-Touch or Simplicity Patio Awning .</li> <li>Springs and/or LED light strip are not included</li> <li>Tube (outside) Diameter-3 1/2"".</li> <li>Order your replacement tube based on the length of your patio awning using the center arm to center arm measurement.</li> <li>Color-Silver</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,15169
Fascia w/ External Stop Pin.,,,,,,,,15170
Right Arm Assembly (Front),,,,,,,,15171
Left Arm Assembly (Back),,,,,,,,15172
Fascia,,,,,,,,15175
"Gas shock, Travel'r - rated to 85 lbs, select Steep or Flat Pitch",,,,,,,,15176
"Travel'R Fixed Pitch Motor Cover Kit, Series I",,,,,,,,15178
"Motor Assembly Kit, Series II",,,,,,,,15179
"Idler Assembly, Series II",,,,,,,,15183
"Travel'R Fixed Pitch Idler Cover Kit, Series II",,,,,,,,15184
Right Arm Assembly,,,,,,,,15190
Left Arm Assembly,,,,,,,,15191
Top Mounting Bracket - Black or White (Choose color),,,,,,,,15192
Fascia w/o Stop,,,,,,,,15194
Travel'R Adjustable Pitch Motor Cover Kit,,,,,,,,15196
Uniguard w/5.25 Soft Connect,,,,,,,,15200
Hardware Pack,,,,,,,,15203
Travel'r Idler Cover Kit Black or White,,,,,,,,15210
Travel Awning Soft Connect (Only),,,,,,,,15215
Arm Roller Kit,,,,,,,,15218
Rail Top Cap,,,,,,,,15219
Top Extension Kit (aftermarket installations only),,,,,,,,15220
Fascia,,,,,,,,15222
"Fascia Cap, No Switch",,,,,,,,15223
Pioneer & Fiesta Lite Top Bracket-Black or White (select color),"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Not compatible with Carefree Fiesta, Spirit or Simplicity Models (Use PT# 901018).</li> <li>Requires a pop-rivet gun for installation.</li> <li>Not compatible with other brands of awnings.</li> <li>Available in Black or White.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,15225
Pioneer & Fiesta Lite Bottom Bracket-Black or White (select color),"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Not compatible with Carefree Fiesta, Spirit or Simplicity Models (Use PT# 901019).</li> <li>May require a pop-rivet gun for installation.</li> <li>Not compatible with other brands of awnings.</li> <li>Available in Black or White.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,15228
Pioneer Lite Lift Handle-Select Color,,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree Pioneer Lite model awnings.</li> <li>Requires a pop-rivet gun for installation.</li> <li>Not compatible with other brands of awnings.</li> <li>Available in Black or White.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,15235
Lower Main Arm,,,,,,,,15236
Carport Foot PIONEER LITE Black or White (select color),,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree Spirit, Fiesta, Simplicity and One-Touch model awnings.</li> <li>Measures:3 3/8"" x 1 5/8"" (deep) x 5/8"" (tall) .</li> <li>Not compatible with other brands of awnings.</li> <li>Requires a pop-rivet gun for installation.</li> <li>Available in Black or White.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,15237
"Lower Brace, Right Hand",,,,,,,,15238
"Lower Brace, Left Hand",,,,,,,,15239
Pioneer Front 1/2 Set Hardware,,,,,,,,15241
Bottom Bracket Black or White (select color),,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree Spirit, Fiesta or Simplicity model awnings.</li> <li>Bracket Measures: 3 1/2"" x 3 1/2"".</li> <li>Not compatible with other brands of awnings.</li> <li>If lag screws need to be replaced (not included) order PT# 901038C.</li> <li>Available in Black or White.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,15242
Idler End Cap,,,,,,,,15244
Manual Crank Assembly,,,,,,,,15245
Alumaguard Assembly Only,,,,,,,,15247
Pioneer Upper Main Arm,,,,,,,,15248
Hardware Pack,,,,,,,,15252
Pioneer End Cap Upgrade Kit-Black or White (select color),,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree 1997 or newer Spirit, Fiesta and Simplicity models up to 25'.</li> <li>8' Extension</li> <li>Available in Black or White.</li> <li>For smooth operation while extending the awning, stand under the patio awning with your back to the RV and crank! It's a breeze!</li> <li style=""color:red;"">Telescoping crank handle is a separate purchase and is not included with this kit.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><h2 class=""plus-title-text"">Manual Crank Upgrade</h2></div><ul class=""list-arrows""><li><a href=""/documents/052561-101r2%20Manual%20Crank%20Upgrade.pdf""> <img src=""/resources/images/product-images/pdficon.jpg"" style=""border:none""/> How to Upgrade Manual Crank</a></li></ul> <br/>
",,15253
Pioneer Back 1/2 Set Hardware,,,,,,,,15254
Pioneer Upper Main Arm,,,,,,,,15255
Pioneer Lower Main Arm,,,,,,,,15256
Lift Handle-Black or White (select color),,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree Spirit, Fiesta or Simplicity model awnings.</li> <li>Requires a pop-rivet gun for installation.</li> <li>Not compatible with other brands of awnings.</li> <li>Available in Black or White.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,15258
Pioneer Lower Brace,,,,,,,,15259
Pioneer Upper Brace,,,,,,,,15260
"Vertical Support Arm Assembly, Complete",,,,,,,,15261
Rafter,,,,,,,,15262
"Bracket, Mounting Kit, Tall",,,,,,,,15263
"Bracket, Mounting Kit, Short",,,,,,,,15264
Endcap and Mounting Tube Assembly,,,,,,,,15265
Roller Tube Assembly,,,,,,,,15267
Fiesta Front 1/2 Set Hardware,,,,,,,,15268
Fiesta Lower Brace,,,,,,,,15269
Fiesta Upper Brace,,,,,,,,15270
Canopy Clamp - SELECT COLOR (pair),,,,,,,,15271
Top Bracket-Black or White (select color),,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree Spirit, Fiesta or Simplicity model awnings.</li> <li>Requires a pop-rivet gun for installation.</li> <li>Not compatible with other brands of awnings.</li> <li>Available in Black or White.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,15273
Fiesta Back 1/2 Set Hardware,,,,,,,,15274
"Spring Assembly, Right Hand, (Front)",,,,,,,,15275
Spring Assembly Left hand (Back),,,,,,,,15276
Awning Pull Wand Cane Standard or XL,,,,,,,,15280
Fiesta Upper Main Arm,,,,,,,,15282
Fiesta Upper Main Arm,,,,,,,,15283
Fiesta Lower Main Arm,,,,,,,,15284
Carport Foot Black or White (select color),,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree Spirit, Fiesta, Simplicity and One-Touch model awnings.</li> <li>Measures: 4 1/4"" x 1 3/4"" (wide) x 1 1/2"" (high).</li> <li>Not compatible with other brands of awnings.</li> <li>Requires a pop-rivet gun for installation.</li> <li>Available in Black or White.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,15285
Remote Lock,,,,,,,,15286
Travel/Storage Lock-Black or White (select color),,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree Spirit, Fiesta or Simplicity model awnings.</li> <li>Requires a pop-rivet gun for installation.</li> <li>Not compatible with other brands of awnings.</li> <li>Available in Black or White.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,15287
Arm Mount Bracket,,,,,,,,15289
Uniguard with Soft Connect,,,,,,,,15290
Window Awning Soft Connect (Only),,,,,,,,15291
Hardware Pack,,,,,,,,15292
Arm,,,,,,,,15293
"Head and Spring Assembly, Right Hand",,,,,,,,15294
"Head and Spring Assembly, Left Hand",,,,,,,,15295
Pull Strap Catch Black or White (select color),,,,,,,,15297
Roller Tube with 2 Slots-Window Awning & Sunshade,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Not compatible with other awning brands .</li> <li>Springs are not included</li> <li>Tube (outside) Diameter-1 7/8"".</li> <li>Order your replacement tube based on the length of your awning using the center arm to center arm measurement.</li> <li>Color-Silver</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,15298
Awning Rail-Select Color & Length,,,,,,,,15299
Arm Assembly w/ Brace Right Hand (Front),,,,,,,,15300
"Arm Assembly w/ Brace, Left Hand, (Back) Straight",,,,,,,,15303
Brace,,,,,,,,15304
"Spring Assembly, Right Hand",,,,,,,,15306
Hardware Pack,,,,,,,,15313
Brace,,,,,,,,15314
SOK III Mounting Bracket-Deflector Version,,,,,,,,15317
Front Cover Assembly,,,,,,,,15319
Hardware Pack,,,,,,,,15321
SOK III Mounting Bracket Screw Snap-on Replacement Cover,,,,,,,,15322
Deflector Assembly,,,,,,,,15323
"End Cap, LH",,,,,,,,15324
"End Cap, RH",,,,,,,,15325
Mounting Plate,,,,,,,,15327
"End Cap, Standard, LH",,,,,,,,15328
"End Cap, Standard, RH",,,,,,,,15329
"Spring Arm Assembly, Left Hand",,,,,,,,15330
"Spring Arm Assembly, Right Hand",,,,,,,,15331
Lead Rail,,,,,,,,15332
"End Plate, Lead Rail",,,,,,,,15333
"End Cap, LH, Outer",,,,,,,,15334
"End Plate, Lead Rail, LH",,,,,,,,15335
"End Plate, Lead Rail, RH",,,,,,,,15336
"Vertical Support Leg, Left Hand",,,,,,,,15339
"Gear Assembly, Manual Crank",,,,,,,,15340
"Vertical Support Leg, Right Hand",,,,,,,,15341
"Kit, Bottom Bracket",,,,,,,,15342
Motor Assembly,,,,,,,,15343
"End Cap, RH",,,,,,,,15344
Plug,,,,,,,,15345
Lead Rail,,,,,,,,15346
Crank Assembly,,,,,,,,15347
"Vertical Support Leg, Left Hand",,,,,,,,15350
"Vertical Support Leg, Right Hand",,,,,,,,15351
"Endcap Assembly, RH",,,,,,,,15355
"Endcap Outer, Manual, LH",,,,,,,,15359
Motor Assembly,,,,,,,,15363
"Plug, LH",,,,,,,,15366
"Endcap Assembly, RH",,,,,,,,15367
"Plug, RH",,,,,,,,15368
"End Cap, RH",,,,,,,,15372
"Roller Tube with 2 Slots-SOKII, SOKIII & Marquee","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Not compatible with other awning brands .</li> <li>Springs are not included</li> <li>Tube (outside) Diameter-2.25"".</li> <li>Order replacement tube based length of the original roller tube.</li> <li>Color-Silver</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,15373
Lead Rail,,,,,,,,15374
End Plate Kit,,,,,,,,15375
End Cap LH,,,,,,,,15377
End Cap RH,,,,,,,,15378
"End Plug, Manual Override",,,,,,,,15379
Lead Rail,,,,,,,,15381
Deflector,,,,,,,,15382
"Deflector, Half",,,,,,,,15383
"Bracket Kit, 2 Brackets, Deflector Mount",,,,,,,,15384
"Bracket Kit, 3 Brackets, Deflector Mount",,,,,,,,15385
"Bracket Kit, 5 Brackets, Deflector Mount",,,,,,,,15386
"End Cap, LH",,,,,,,,15388
"End Cap, RH",,,,,,,,15389
Hooded Awning Rail-Ascent-Select Color & Length,,,,,,,,15390
Flex Connect,,,,,,,,15392
Weather Slat (Standard - 1 piece),,,,,,,,15393
Weather Slat (XL Only - 2 pieces),,,,,,,,15394
"End Plate, Slat, LH",,,,,,,,15395
"End Plate, Slat, RH",,,,,,,,15396
Roller Tube Assembly (Standard),,,,,,,,15397
"Roller Tube Half, LH (XL)",,,,,,,,15398
"Roller Tube Half, RH (XL)",,,,,,,,15399
Cover Assembly (Standard),,,,,,,,15400
Cover Assembly (XL only),,,,,,,,15401
"Top Cover, RH and LH",,,,,,,,15404
Roller Tube 1-7/8 Diameter,,,,,,,,15405
Lead Rail,,,,,,,,15406
Cable Channel,,,,,,,,15408
Ignition Lockout Sensor,,,,,,,,15410
End Plate Assembly - Left Hand,,,,,,,,15412
End Plate Assembly - Right Hand,,,,,,,,15413
Roll Bar - 1 7/8 Diameter,,,,,,,,15414
Right Hand Spring Assembly,,,,,,,,15435
Left Hand Spring Assembly - Window Awning,,,,,,,,15436
Right Hand Spring Assembly - Window Awning,,,,,,,,15437
Left Hand Spring Assembly - Over the Door (OtD),,,,,,,,15438
Right Hand Spring Assembly - Over the Door (OtD),,,,,,,,15439
Left Hand Spring Assembly - Truckin' Awn,,,,,,,,15440
Right Hand Spring Assembly - Truckin' Awn,,,,,,,,15441
Left Hand Spring Assembly - SL and SLXL Window Awning,,,,,,,,15442
Right Hand Spring Assembly - SL and SLXL Window Awning,,,,,,,,15443
Left Hand Spring Assembly - XL Window Awning,,,,,,,,15444
Right Hand Spring Assembly - XL Window Awning,,,,,,,,15445
"Fiesta, Spirit, Simplicity, Pioneer Complete Arm Sets",,,,,,,,15446
Fiesta Lite Manual Arm Sets,,,,,,,,15447
Travel'r Adjustable Pitch 12v Arm Set,,,,,,,,15448
Travel'r Steep Pitch 12v Arm Set,,,,,,,,15449
Longitude Complete Arm Sets,,,,,,,,15450
"BRKT KIT,FRDM RM,SPRNTR W/O RL",,,,,,,,15824
"PULL CANE,SPIRIT BASEMNT MODEL",,,,,,,,15828
"Quick Mount Bracket Kit - Travel'r, Black",,,,,,,,16897
"MOUNTING BRACKET KIT,FREEDOM ROOF MOUNT,177,HYMER SX,BLACK",,,,,,,,16932
"KIT,12V NEWMAR DR IGN",,,,,,,,16936
"KIT,MTG BRKT,PARAMOUNT",,,,,,,,16994
"APEX BULLET ENDCAP,LH,BLACK",,,,,,,,16996
"APEX BULLET ENDCAP,RH,BLACK",,,,,,,,16997
"BRKT KIT RMFRST,W/RL,197"",BL",,,,,,,,17019
"BRKT KIT,LATITUDE N38 ROOF MNT",,,,,,,,19007
"ARMS,COMPASS,WHT, 48",,,,,,,,19121
"ARMS,COMPASS,WHT",,,,,,,,19123
"KIT, RGB LED 26"" LD,CNTR,REM",,,,,,,,19149
Carefree Slide Topper Prepped Access Plate Adapter Kit - Black,,,,,,,,22348
"1/4""-20 Set Screw-SST",,,,,,,,30573
"Thin-Lite Hanger, clip",,,,,,,,40275
"POLYROD,3/16,GRY,POLYPROPELENE",,,,,,,,41046
Manual Arms Top Bracket Stand-Off Kit,,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree Spirit, Fiesta or Simplicity model awnings.</li> <li>Use with the Bottom Bracket Stand-Off Kit (PT# 1690037) if additional clearance is needed for the bottom bracket (not required).</li> <li>Not compatible with other brands of awnings.</li> <li>Includes 4-Hex lag screws-1/4"" X 3-1/2""  x 7/16""</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,249153
Window Awning Spring Right-BLACK for awnings 3' to 8' with Vinyl Weatherguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Alumaguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610000
Window Awning Spring Left-BLACK for awnings 3' to 8' with Vinyl Weatherguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Alumaguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610001
Window Awning Spring Right-BLACK for awnings 3' to 8' with Alumaguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Vinyl Weatherguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610002
Window Awning Spring Left-BLACK for awnings 3' to 8' with Alumaguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Vinyl Weatherguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610003
Window Awning Spring Right-BLACK for awnings 9' to 12' with Vinyl Weatherguard,,,,,,,,610004
Window Awning Spring Left-BLACK for awnings 9' to 12' with Vinyl Weatherguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Alumaguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610005
Window Awning Spring Right-BLACK for awnings 9' to 12' with Alumaguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Vinyl Weatherguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610006
Window Awning Spring Left-BLACK for awnings 9' to 12' with Alumaguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Vinyl Weatherguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610007
Window Awning Spring Right-BLACK for awnings 13' to 15' with Vinyl Weatherguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Alumaguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610008
Window Awning Spring Left-BLACK for awnings 13' to 15' with Vinyl Weatherguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Alumaguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610009
Window Awning Spring Right-BLACK for awnings 13' to 15' with Alumaguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Vinyl Weatherguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610010
Window Awning Spring Left-BLACK for awnings 13' to 15' with Alumaguard,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>Will not work with Window awnings with Uniguard or Vinyl Weatherguard.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree SL Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,610011
Fiesta HD Black Arm Set (Long),,,,,,,,640016
Fiesta HD Black Arm Set,,,,,,,,641601
"Pull Strap Travel Awning 93""",,,,"
<div class=""plus-title plus-title-orange""> <span class=""plus"">+</span> <a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a> </div> <ul class=""list-arrows""> <li>Carefree Plan-O-Gram Part # 901011</li> <li>Includes 1-replacement pull strap.</li> <li>8' Extension.</li> </ul>
",,,,901011
"Window Awning Pull Strap 27""",,,,,,,,901012
Brace Rafter Knob with Clamp,,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree Spirit, Fiesta and Simplicity model awnings.</li> <li>Knob threads are 1/4"" in diameter.</li> <li>Not compatible with other brands of awnings.</li> <li>Plan-O-Gram PT# 901022</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,901022
